name,description,price,category
Red Cotton T-Shirt,Comfortable red cotton t-shirt with a round neck and short sleeves.,19.99,Clothing
16GB USB Flash Drive,High-speed 16GB USB flash drive with a durable metal casing.,9.99,Electronics
Running Shoes,Lightweight running shoes with breathable mesh and cushioned soles.,49.99,Footwear
Leather Wallet,Premium leather wallet with multiple compartments for cards and cash.,29.99,Accessories
Smartphone,"Latest smartphone with 6GB RAM, 128GB storage, and a high-resolution camera.",299.99,Electronics
Bluetooth Headphones,"Wireless Bluetooth headphones with noise-cancelling feature and long battery life.",59.99,Electronics
Yoga Mat,Eco-friendly yoga mat with non-slip surface and extra cushioning for comfort.,24.99,Fitness
Stainless Steel Water Bottle,"Durable stainless steel water bottle with a capacity of 1 liter and a leak-proof lid.",15.99,Accessories
Desk Lamp,"Adjustable desk lamp with LED light and touch-sensitive controls.",34.99,Home
Electric Kettle,"Fast-boiling electric kettle with a capacity of 1.5 liters and automatic shut-off feature.",25.99,Home
Denim Jeans,Classic blue denim jeans with a straight cut and five-pocket design.,39.99,Clothing
Wireless Mouse,"Ergonomic wireless mouse with adjustable DPI settings and a rechargeable battery.",19.99,Electronics
Hiking Boots,"Durable hiking boots with waterproof leather and rugged soles for rough terrain.",89.99,Footwear
Sunglasses,"Stylish sunglasses with UV protection and a lightweight frame.",22.99,Accessories
Air Purifier,"Compact air purifier with HEPA filter and multiple fan speeds.",99.99,Home
Blender,"High-power blender with multiple speed settings and a durable glass jar.",79.99,Home
Resistance Bands,"Set of resistance bands with varying levels of resistance for strength training.",17.99,Fitness
Smart Thermostat,"Programmable smart thermostat with Wi-Fi connectivity and energy-saving features.",129.99,Home
Graphic T-Shirt,"Trendy graphic t-shirt with a unique print and soft cotton fabric.",24.99,Clothing
Portable Charger,"High-capacity portable charger with dual USB ports and fast charging capability.",29.99,Electronics
Trail Running Shoes,"High-performance trail running shoes with enhanced grip and support.",69.99,Footwear
Leather Belt,"Classic leather belt with a polished metal buckle and adjustable length.",34.99,Accessories
Dumbbell Set,"Adjustable dumbbell set with multiple weight options for home workouts.",89.99,Fitness
Electric Toothbrush,"Advanced electric toothbrush with multiple brushing modes and a built-in timer.",49.99,Home
Casual Polo Shirt,"Stylish casual polo shirt with a soft fabric and button-down collar.",34.99,Clothing
Smartwatch,"Feature-rich smartwatch with fitness tracking, notifications, and customizable watch faces.",199.99,Electronics
Outdoor Sandals,"Breathable outdoor sandals with adjustable straps and cushioned footbed.",39.99,Footwear
Fitness Tracker,"Sleek fitness tracker with heart rate monitoring, sleep tracking, and step counting.",59.99,Fitness
Wooden Bookshelf,"Elegant wooden bookshelf with multiple shelves and a sturdy design.",119.99,Home
Wall Art,"Contemporary wall art print on canvas with vibrant colors and abstract design.",49.99,Home
Knit Sweater,"Cozy knit sweater with a relaxed fit and warm fabric, perfect for cooler weather.",54.99,Clothing
Wireless Earbuds,"Compact wireless earbuds with noise isolation and a charging case.",79.99,Electronics
Running Socks,"Moisture-wicking running socks with extra cushioning and arch support.",14.99,Footwear
Leather Handbag,"Elegant leather handbag with multiple compartments and a detachable strap.",89.99,Accessories
Adjustable Desk,"Ergonomic adjustable desk with a height control mechanism for standing or sitting work.",219.99,Home
Multi-Function Blender,"High-performance blender with attachments for chopping, blending, and grinding.",99.99,Home
Pilates Ring,"Lightweight pilates ring for resistance training and core workouts.",22.99,Fitness
Athletic Shorts,"Lightweight athletic shorts with moisture-wicking fabric and an elastic waistband.",29.99,Clothing
LED Flashlight,"High-intensity LED flashlight with adjustable beam and durable construction.",24.99,Electronics
Winter Boots,"Insulated winter boots with waterproof material and non-slip soles.",99.99,Footwear
Fitness Ball,"Durable fitness ball for core workouts, stretching, and stability exercises.",28.99,Fitness
Electric Blanket,"Soft electric blanket with adjustable heat settings and dual controls.",79.99,Home
